source,author,title,description,url,urlToImage,publishedAt,content
"{'id': None, 'name': 'Igakuken.or.jp'}",東京都医学総合研究所,家族性筋萎縮性側索硬化症の原因遺伝子としてのγ-シヌクレイン - 公益財団法人 東京都医学総合研究所,•本研究において、γS遺伝子（SNCG）のエクソーム解析を行った結果、家族性ALS患者さん140名中、2名から、ミスセンス変異M38Iが同定された。•M38Iはイン・ビトロにおいてアミロイド・フィブリルの形成を促進し、培養細胞に発現すると細胞質内封入体を形成することが観察された。...,https://www.igakuken.or.jp/r-info/covid-19-info204.html,https://www.igakuken.or.jp/r-info/images/info_204.webp,2024-03-12T03:00:45Z,"1.Substitution of Met-38 to Ile in -synuclein found in two patients with amyotrophic lateral sclerosis induces aggregation into amyloid,Liam D Aubrey et al. Proc Natl Acad Sci USA 2024 Jan 9;121(2):e… [+174 chars]"
"{'id': None, 'name': ""Women's Health""}",伊賀本　藍,ランニングでコレステロール値は下げられる？ - Women’s Health Japan,高コレステロール血症は循環器疾患の要因になるけれど、その数値を下げるためにはランニングが役立つという研究結果が発表された。自分のコレステロール値を気にしたことがない人も、俗に言う“悪玉”コレステロール値が高いのは体に悪いということだけは知っているはず。まずはコレステロールの基礎知識をイギリス版ウィメンズからみていこう。,https://www.womenshealthmag.com/jp/fitness/a60107488/high-cholesterol-20240312/,"https://hips.hearstapps.com/hmg-prod/images/group-of-women-running-through-urban-area-royalty-free-image-1709712847.jpg?crop=1.00xw:0.753xh;0,0.0831xh&resize=1200:*",2024-03-12T02:42:08Z,"ISEH
LDLHDL2LDLHDL
LDL
ED
85%1FH
1
HDLLDL
Jama Internal Medicine11.222.5km
Archives of Internal Medicine80km16km85%2.5
HMG-CoA1
The British Heart FoundationBHF
Harvard Health
LDLHDL
Runn… [+68 chars]"
"{'id': None, 'name': ""Women's Health""}","Korin Miller, 伊賀本　藍",マグネシウムは本当にダイエットの役に立つ？ - Women’s Health Japan,一部の医師は、睡眠や消化に加えて不安にもマグネシウムが効くと主張しているけれど、このミネラルがダイエットの役に立つというのは本当だろうか？　マグネシウムで体重が減りやすくなるとしたら、それは一体どういう仕組みで？　そして実際に試す価値は本当にあるのだろうか？　アメリカ版ウィメンズへルスから詳しくみていこう。,https://www.womenshealthmag.com/jp/diet/a60086799/magnesium-for-weight-loss-20240312/,"https://hips.hearstapps.com/hmg-prod/images/mineral-pill-capsule-magnesium-mg-royalty-free-image-1709623485.jpg?crop=1.00xw:0.751xh;0,0.108xh&resize=1200:*",2024-03-12T02:42:08Z,
"{'id': None, 'name': 'Okayama-u.ac.jp'}",岡山大学,メチル水銀が嗅覚系神経を傷害することを発見 長らく不明であった水俣病における嗅覚障害の病態解明に貢献 - 国立大学法人 岡山大学 - 岡山大学,岡山大学の公式サイト。,https://www.okayama-u.ac.jp/tp/release/release_id1200.html,https://www.okayama-u.ac.jp/_img/ogp.jpg,2024-03-12T01:10:04Z,"32024217 Archives of Toxicology60
Characterization of pathological changes in the olfactory system of mice exposed to methylmercuryArchives of Toxicology Yuta Iijima, Ryohei Miki, Nobumasa Takasugi,… [+158 chars]"
"{'id': None, 'name': 'Yahoo.co.jp'}",,糖尿病を克服した人に共通する体重減の重大事実 体脂肪を減らすのは健康にとって良いことばかり(東洋経済オンライン) - Yahoo!ファイナンス - Yahoo!ファイナンス,一般的に「糖尿病」といえば、2型糖尿病を指すことが多いとされます。遺伝的要因や食生活、運動不足、肥満、ストレスなどの要因...,https://finance.yahoo.co.jp/news/detail/e440a4995153ed1012f273cc302937e9a2b4d422,https://s.yimg.jp/images/finance/common/image/ogp.png,2024-03-11T19:53:41Z,"Copyright © 2024Toyo Keizai, Inc.,
© LY Corporation"
"{'id': None, 'name': 'Yahoo.co.jp'}",,健康が意識が高い人は要注意！「塩分、糖分は控えめに」の落とし穴 悪者にされがちだが、不足するリスクも大きい(東洋経済オンライン) - Yahoo!ファイナンス - Yahoo!ファイナンス,塩分や糖分の摂取は控えめに――。健康に気をつけている人ならば、最初に実践する食生活の「常識」のひとつでしょう。しかし、高...,https://finance.yahoo.co.jp/news/detail/0c1b37780b9a71f127d54cbc38adf9ca7bba95be,https://s.yimg.jp/images/finance/common/image/ogp.png,2024-03-11T19:43:40Z,"Copyright © 2024Toyo Keizai, Inc.,
© LY Corporation"
"{'id': None, 'name': 'Nikkeibp.co.jp'}",日経メディカル,小児のSARS-CoV-2後遺症論文が再び注目 - 日経メディカル,本コラムでは、Googleが提供する学術雑誌のインパクト指標「h5-index」から、各領域10誌を抽出。それを元に世界中で最も多くツイートされた論文を紹介する。2月26日～3月3日に最もツイート数が多かったのは、AmericanAcademyofPediatrics誌の論文「PostacuteSequelaeofSARS-CoV-2inChildren」（小児のS,https://medical.nikkeibp.co.jp/leaf/mem/pub/hotnews/popular/202403/583503.html,https://medical.nikkeibp.co.jp/all/thumb_l/583503_l.png?202403120030,2024-03-11T15:30:05Z,
"{'id': None, 'name': 'Note.com'}",碧井 ゆき,チケラ風邪｜碧井 ゆき - note,「須美代(すみよ)、もう一ヶ月も休んでるわよ。学校行きなさい」 「だって感染(うつ)るじゃない」 「その風邪は感染したら治るのよ。先生も言っていたでしょう」 「もう少しで治るかもしれないし」 母は、仕方がないと言った様子で、鼻から強くため息をつく。 「発疹は気になるわね。赤みが引いたら登校しなさい。先生が心配してるわよ」 そんなことは知っている。 クラスメートからも学校に来て大丈夫だとDMはもらっている。 でも、感染るのに感染したくない人に（感染したい人なんていないけれど）会いに行かないといけないのがどうにも腑に…,https://note.com/snowycrow2blue/n/nf38e86d9f477,https://assets.st-note.com/production/uploads/images/133618573/rectangle_large_type_2_1fb8f9abb7e1fcd4dc06117c4ca194a8.png?fit=bounds&quality=85&width=1280,2024-03-11T10:52:59Z,
"{'id': None, 'name': 'Nazology.net'}",,40Hz（毎秒40回）の光と音がアルツハイマー病に効く仕組みを解明！【Nature誌】 - ナゾロジー,"音と光で治療できます。
実はこれまでの研究で、40Hzの音と光がアルツハイマー病にみられるアミロイドβを脳内から減らす効果を持つことが知られていました。
ただ、なぜそんなものでアルツハイマー病に対処できるのか、脳内でどんなメカニズムが働いているのかはよくわかっていませんでした。
しかし今回、米国のMIT（マサチューセッツ工科大学）で行われたマウス研究が、毎秒40回（40Hz）の音と光の刺激によって、有害なアミロイドβタンパク質を脳内から洗い流すメカニズムについて明らかにしました。
一体どうして音と光だけで、脳内の…",https://nazology.net/archives/146829,https://nazology.net/wp-content/uploads/2024/03/f5dde7bac7c03757f01ae3374f304f03.jpg,2024-03-11T09:00:41Z,
"{'id': None, 'name': 'Tbsradio.jp'}",,食欲を維持するための実践 - TBSラジオ,毎月、消化器を専門とする医療関係者、研究者をゲストにお招きして、腸内環境の整え方や、腸の病気など、腸に関する健康情報をご紹介します。腸にいいコトがギュッと詰まった10分間！耳から服用する整腸剤のような番組です。2024年3月のゲストは、目白第二病院 副院長の 水野英彰邉先生です。,https://www.tbsradio.jp/articles/80937/,https://tbsradio.g.kuroco-img.app/v=1709523364/files/topics/80937_ext_03_0.jpg?width=1200,2024-03-11T08:50:00Z,
