source,author,title,description,url,urlToImage,publishedAt,content
"{'id': 'reuters', 'name': 'Reuters'}",ロイター編集,テニス＝ＢＮＰパリバＯＰ、大坂が3回戦敗退 ジョコビッチも黒星 - ロイター (Reuters Japan),テニスのＢＮＰパリバ・オープンは１１日、米カリフォルニア州インディアンウェルズで試合を行い、元世界ランキング１位の大坂なおみは女子シングルス３回戦で敗退した。,https://jp.reuters.com/life/sports/DGVMLFBAFJK25DEEX2S7HI72UM-2024-03-12/,https://jp.reuters.com/resizer/FvM1hhiYrGsRZq_t0TYLveQWANc=/1920x1005/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/ZRHKVGIFTRISPGK6OXM4KSGRAM.jpg,2024-03-12T04:04:11Z,
"{'id': None, 'name': 'Nikkansports.com'}",日刊スポーツ,【西武】ベルーナＤ「ここに当てたら１億円」看板を右翼から左翼に移動のわけ ある発言きっかけ - プロ野球 - ニッカンスポーツ,西武は12日、本拠地ベルーナドームに設置されている「ここに当てたら1億円」看板を、右翼側から左翼側に“コンバート”したと発表した。昨春登場した立飛ホールディン… - 日刊スポーツ新聞社のニュースサイト、ニッカンスポーツ・コム（nikkansports.com）。,https://www.nikkansports.com/baseball/news/202403120000315.html,https://www.nikkansports.com/baseball/news/img/202403120000315-w500_0.jpg,2024-03-12T03:46:35Z,"(C)2024,Nikkan Sports News.
nikkansports.comNEWS"
"{'id': None, 'name': 'Nikkansports.com'}",日刊スポーツ,【ロッテ】藤原恭大が右膝骨折、開幕絶望「２・５から３カ月かかるんじゃないか」吉井監督 - プロ野球 - ニッカンスポーツ,ロッテは12日、藤原恭大外野手（23）が右膝蓋（しつがい）骨骨折と診断されたと発表した。吉井理人監督（58）は「骨の引っ付き具合で変わると思うが、2・5から3… - 日刊スポーツ新聞社のニュースサイト、ニッカンスポーツ・コム（nikkansports.com）。,https://www.nikkansports.com/baseball/news/202403120000300.html,https://www.nikkansports.com/baseball/news/img/202403120000300-w500_0.jpg,2024-03-12T03:10:00Z,"(C)2024,Nikkan Sports News.
nikkansports.comNEWS"
"{'id': None, 'name': 'As-web.jp'}",autosport web 編集部,“タイム合算”新予選方式の詳細をGTアソシエイションが発表。GT300で入れ替えルールを採用へ | スーパーGT - オートスポーツweb,"スーパーGTを運営するGTアソシエイション（GTA）は、2024年シーズンから採用される新しい予選方式の詳細を明らかにした。

　今季からGT500とGT300の両クラスで採用されることになる新予選方式については、すでに予選Q1とQ2のタイム合算方式となることが公表されていたが、その詳細がブルテンNo.007-S『2024 SUPER GT Sporting Regulations（SpR）付則-8の追記』、同No.008-S『2024 SuperGT Sporting Regulations（SpR）の一部…",https://www.as-web.jp/supergt/1053305,https://cdn-image.as-web.jp/2024/03/12124817/asimg_asimg_time_f765e04b2a7bd1f_dd65efd080850f1.jpg,2024-03-12T03:10:00Z,
"{'id': None, 'name': 'Fighters.co.jp'}",,2024シーズン選手グルメを一挙公開！3/12(火)オープン戦から本格発売スタート！ | 北海道日本ハムファイターズ - 北海道日本ハムファイターズ,,https://www.fighters.co.jp/news/detail/202400499643.html,,2024-03-12T03:04:07Z,
"{'id': None, 'name': 'Frontale.co.jp'}",,川崎フロンターレ：松井蓮之選手 期限付き移籍のお知らせ - 川崎フロンターレ,当クラブに所属しております松井蓮之選手が、ベガルタ仙台へ期限付き移籍することが決定いたしましたので、お知らせいたします。なお、松井蓮之選手は契約により、期限付き移籍期間中は、川崎フロンターレと対戦するすべての公式戦に出場できません。 松井...,https://www.frontale.co.jp/info/2024/0312_1.html,https://www.frontale.co.jp/common_2017/page_parts/site_id.png,2024-03-12T03:03:52Z,JR 30 AZZURRO NERO &amp; FRO CAFE
"{'id': None, 'name': 'Tegevajaro.com'}",,眞鍋旭輝選手の傷病検査療養について - テゲバジャーロ宮崎,テゲバジャーロ宮崎ファミリーの皆様にご報告を申し上げます。我がキャプテン、 DF 眞鍋 旭輝選手は、片頭痛の症状から大事を取り検査療養することとなりました。皆様にはご心配をおかけいたしますが、詳細が判...,https://www.tegevajaro.com/news/members/91040.html,https://www.tegevajaro.com/contents/wp-content/themes/tegevajaro/images/twitterimg.png,2024-03-12T03:00:30Z,Copyright© TEGEVAJARO MIYAZAKI All rights Reserved.
"{'id': None, 'name': 'As-web.jp'}",autosport web 編集部,【SNS特集】F1サウジアラビアGP：賛否渦巻くマグヌッセンの大暴れ。代役ベアマン、18歳の鮮烈F1デビュー | F1 - オートスポーツweb,虫垂炎で欠場となったフェラーリF1カルロス・サインツの代役として、18歳のオリバー・ベアマンがF1デビュー。見事7位入賞を果たした。その一方でベテランのハースF1ケビン・マグヌッセンは他車との接触やコース外を利用しての強引なオーバーテイクで20秒のペナルティを受けるも、チームのポイント獲得に貢献。サウジアラビアの週末をドライバーや関係者のSNSで振り返る。,https://www.as-web.jp/f1/1053201,https://cdn-image.as-web.jp/2024/03/12051004/asimg_XPB_1264461_HiRes_8a65ef651c43ac8.jpg,2024-03-12T02:51:00Z,
"{'id': None, 'name': 'As-web.jp'}",autosport web 編集部,復帰戦で見事3位表彰台の山本尚貴。「まだやれる」レース後に見せた涙と覚悟のアクセルオン | スーパーフォーミュラ - オートスポーツweb,2024年のスーパーフォーミュラ開幕戦、第1戦鈴鹿サーキットで怪我から復帰したばかりの山本尚貴（PONOS NAKAJIMA RACING）が見事、3位表彰台を獲得した。昨年9月の大きなクラッシュを受けてシーズンを欠場し、約2か月の入院生活から最初の復帰戦での活躍に、チームや関係者、そして山本にとって特別な1戦となった。,https://www.as-web.jp/super-formula/1053281,https://cdn-image.as-web.jp/2024/03/12113159/asimg_OGA15973_f865efbe9e39262.jpg,2024-03-12T02:40:00Z,
"{'id': None, 'name': 'Rakuteneagles.jp'}",,山田 遥楓選手 支配下選手登録に関して - 東北楽天ゴールデンイーグルス - 東北楽天ゴールデンイーグルス,,https://www.rakuteneagles.jp/news/detail/202400549370.html,https://www.rakuteneagles.jp/media/sites/3/news/thumb/ogp_default.png,2024-03-12T02:04:46Z,
