source,author,title,description,url,urlToImage,publishedAt,content
"{'id': None, 'name': 'Gizmodo.jp'}",小暮ひさのり,やってくるぞ｢Qi2｣世代。Ankerが一気に4製品を投入だ - GIZMODO JAPAN,本気で市場、狙ってきてます。ワイヤレス充電の新企画｢Qi2（チーツー）｣が制定され、この春からぞくぞくと対応充電器が発表・発売されています。Ankerからもこれまで予約販売だったQi2対応4製品の一般販売が始まりました。今回は…・Anker MagGo Wireless Charging Station(Foldable 3-in-1)・Anker MagGo Power Bank(6600mA,https://www.gizmodo.jp/2024/03/anker-qi2.html,https://media.loom-app.com/gizmodo/dist/images/2024/03/10/2024-03-10ank00.jpg?w=1280&h=630&f=jpg,2024-03-12T04:30:00Z,"Anker MagGo Wireless Charging Station(Foldable 3-in-1)
Anker MagGo Power Bank(6600mAh)
Anker MagGo Magnetic Charging Station(8-in-1)
Anker MagGo Wireless Charger(Pad)"
"{'id': None, 'name': 'Impress.co.jp'}",,Raspberry Pi PicoでGPUを作る。element14が動画を公開 - PC Watch,Raspberry Pi Picoを使ってGPUを作ろうと試みる動画がelement14の公式YouTubeチャンネルにて公開されている。,https://pc.watch.impress.co.jp/docs/news/1575616.html,https://pc.watch.impress.co.jp/img/pcw/list/1575/616/01.jpg,2024-03-12T04:03:21Z,"Raspberry Pi PicoGPUelement14YouTube 
 Luke WrenGitHubPico DVIPico DVI SockDVIRaspberry PiGPUPCI ExpressSMBusI2CI2CAdafruit GFX Library 
 DVI2Raspberry Pi PicoCPUGPU 
 GPU 
 PCPCI ExpressPC 
Tur… [+35 chars]"
"{'id': None, 'name': 'Gizmodo.jp'}",小暮ひさのり,M3 MacBook Airの最安モデルはSSD速度が上がってパフォーマンス向上 - GIZMODO JAPAN,M3 MacBook AIrはストレージチップの構成が変わって、M2に比べて高速化している。,https://www.gizmodo.jp/2024/03/m3-macbook-air-ssd-fast-transfer-speed.html,https://media.loom-app.com/gizmodo/dist/images/2024/03/12/snapshot.jpg?w=1280&h=630&f=jpg,2024-03-12T04:00:00Z,
"{'id': None, 'name': 'Gizmodo.jp'}",ヤマダユウス型,iPhoneケースを防御力より美学で選んだ - GIZMODO JAPAN,Less is moreだわぁ。昨年にiPhone 15 Proを手に入れてから、ず〜〜っと発売を心待ちにしていたものがありました。それが、mynus（マイナス）というブランドのスマホケース。 2024年3月6日にようやくiPhone 15 Pro対応のケース｢MYNUS iPhone 15 Pro CASE｣が発売されたので、速攻購入しました！　デザインや使用感を簡単にレビューしますね。ここま,https://www.gizmodo.jp/2024/03/mynus-iphone15pro.html,https://media.loom-app.com/gizmodo/dist/images/2024/03/11/240311mynusiphone15procase_01.jpg?w=1280&h=630&f=jpg,2024-03-12T03:30:00Z,"Less is more
iPhone 15 Promynus
202436iPhone 15 ProMYNUS iPhone 15 Pro CASE
Spigen
TR-90
iPhone
QOL
Source: mynus"
"{'id': None, 'name': 'Cointelegraph'}",コインテレグラフ・ジャパン（ビットコイン、仮想通貨、ブロックチェーンのニュース）,ビットコイン、また史上最高値更新、ETFフローはこれからが本番？【仮想通貨相場】 - コインテレグラフ・ジャパン（ビットコイン、仮想通貨、ブロックチェーンのニュース）,,https://jp.cointelegraph.com/news/rakuten-wallet-crypto-currency-market-review-2024-0312,,2024-03-12T03:21:44Z,
"{'id': None, 'name': 'Impress.co.jp'}",,モトローラから新スマホ「moto g24」、4G対応・約2万円で22日発売 - ケータイ Watch,モトローラ・モビリティ・ジャパンは、同社の新型4Gスマートフォン「moto g24」を3月22日に発売する。価格は2万800円。,https://k-tai.watch.impress.co.jp/docs/news/1575574.html,https://k-tai.watch.impress.co.jp/img/ktw/list/1575/574/sub.png,2024-03-12T03:00:13Z,"OSAndroid 148GB128GB1TBmicroSDRAM16GBHelio G856.6LCDHD90Hz 
 5000200800 
 4G LTE1/2/3/5/7/8/18/19/20/26/28/38/40/415GWi-FiIEEE802.11/a/b/g/n/acBluetooth 5.0SIMnanoSIMSIMDSDVNFC3.5mm 
 163.49×74.53… [+22 chars]"
"{'id': None, 'name': 'Gigazine.net'}",@GIGAZINE,Appleが開発していた自動運転車のデザインがどんなものだったかが明らかに - GIGAZINE（ギガジン）,Appleが長らく開発を続けてきた自動運転車開発プロジェクトが、ついにキャンセルされたことが2024年2月末に報告されました。これまでさまざまなウワサが報じられてきたAppleの自動運転車ですが、外観デザインがどんなものを計画していたのかが、Bloombergの報道で明らかになっています。,https://gigazine.net/news/20240312-apple-car-look-like/,https://i.gzn.jp/img/2024/03/12/apple-car-look-like/00_m.jpg,2024-03-12T03:00:00Z,
"{'id': None, 'name': 'Impress.co.jp'}",,Core Ultra搭載モバイル「Swift Go 14」に日本語配列キーボードモデル - PC Watch,日本エイサー株式会社は、14型の薄型モバイルノート「Swift Go 14」の日本語配列キーボードモデル2機種を3月13日より発売する。価格はオープンプライス。,https://pc.watch.impress.co.jp/docs/news/1575528.html,https://pc.watch.impress.co.jp/img/pcw/list/1575/528/1.jpg,2024-03-12T03:00:00Z,"14Swift Go 142313 
 Swift Go 14202312Core UltraCore UltraCore Ultra 7Core Ultra 5 
 14.9mmsRGB 100%Windows HelloOceanGlass 
 Acer TwinAirAcerSenseWindows Studio Effects360WebAIAcer PurifiedVoice … [+147 chars]"
"{'id': None, 'name': 'Cointelegraph'}",コインテレグラフ・ジャパン（ビットコイン、仮想通貨、ブロックチェーンのニュース）,トランプ前大統領「クレイジーで新しい通貨だ」 ビットコインや仮想通貨に対する態度が緩和 - コインテレグラフ・ジャパン（ビットコイン、仮想通貨、ブロックチェーンのニュース）,,https://jp.cointelegraph.com/news/trump-indicates-tolerance-cryptocurrency-if-elected,,2024-03-12T02:05:06Z,
"{'id': None, 'name': 'Toyokeizai.net'}",石野 純也,Androidスマホに新搭載､生成AI｢Gemini｣の凄さ - 東洋経済オンライン,2月に、グーグルは生成AIのブランドを「Gemini」に統一した。2023年から提供を開始していたチャットボットの「Bard」も、現在はGeminiという名称に変更されている。ブランド変更を機に、グーグルはスマホ用アプリ…,https://toyokeizai.net/articles/-/739809,https://tk.ismcdn.jp/mwimgs/6/5/1200w/img_651a4004c2a150fdeda4cd820a8aceaa94877.jpg,2024-03-12T01:11:49Z,"2AIGemini2023BardGeminiAndroidGoogleGemini
GoogleAndroidGeminiAIGoogle"
